state_fips,state,state_abbr,county,hardiness_zone
55,Wisconsin,WI,Waushara,4b
05,Arkansas,AR,Izard,7b
06,California,CA,Monterey,9a
35,New Mexico,NM,Grant,7b
29,Missouri,MO,Miller,6b
37,North Carolina,NC,Wilkes,7b
02,Alaska,AK,Juneau,
29,Missouri,MO,Platte,6b
29,Missouri,MO,Buchanan,6a
01,Alabama,AL,Limestone,7b
18,Indiana,IN,Henry,6a
31,Nebraska,NE,Polk,5b
39,Ohio,OH,Ottawa,6b
27,Minnesota,MN,Norman,4a
19,Iowa,IA,Shelby,5b
24,Maryland,MD,Carroll,7a
19,Iowa,IA,Benton,5a
21,Kentucky,KY,Martin,7a
27,Minnesota,MN,Chisago,4b
21,Kentucky,KY,Owsley,6b
42,Pennsylvania,PA,Bradford,6a
54,West Virginia,WV,Hancock,6b
29,Missouri,MO,Cole,6b
26,Michigan,MI,Berrien,6a
42,Pennsylvania,PA,Huntingdon,7a
31,Nebraska,NE,Dawes,5a
51,Virginia,VA,Patrick,7b
26,Michigan,MI,Montmorency,5a
26,Michigan,MI,Oscoda,5a
35,New Mexico,NM,Colfax,6a
17,Illinois,IL,St. Clair,7a
17,Illinois,IL,Washington,6b
42,Pennsylvania,PA,Bedford,6b
05,Arkansas,AR,Scott,8a
20,Kansas,KS,Labette,7a
42,Pennsylvania,PA,Lawrence,6a
39,Ohio,OH,Harrison,6b
37,North Carolina,NC,Alexander,8a
34,New Jersey,NJ,Cape May,7b
33,New Hampshire,NH,Cheshire,5b
27,Minnesota,MN,Marshall,4a
51,Virginia,VA,King William,7b
08,Colorado,CO,Huerfano,6a
48,Texas,TX,Karnes,9a
47,Tennessee,TN,Chester,7b
17,Illinois,IL,Scott,6a
49,Utah,UT,Millard,6a
49,Utah,UT,Morgan,6a
48,Texas,TX,Kaufman,8b
04,Arizona,AZ,Greenlee,8a
