state_fips,state,state_abbr,county,hardiness_zone
34,New Jersey,NJ,Camden,7a
17,Illinois,IL,Jersey,6b
51,Virginia,VA,Hanover,7a
20,Kansas,KS,Wallace,6a
26,Michigan,MI,Alger,5a
05,Arkansas,AR,Fulton,7a
48,Texas,TX,Hidalgo,10a
37,North Carolina,NC,Robeson,8b
26,Michigan,MI,Newaygo,5b
41,Oregon,OR,Morrow,7a
27,Minnesota,MN,Todd,4a
05,Arkansas,AR,Logan,8a
37,North Carolina,NC,Lincoln,8a
05,Arkansas,AR,Miller,8b
12,Florida,FL,Orange,10a
08,Colorado,CO,San Juan,5a
16,Idaho,ID,Franklin,6a
13,Georgia,GA,Carroll,8a
20,Kansas,KS,Riley,6b
48,Texas,TX,Schleicher,8a
51,Virginia,VA,Russell,7a
37,North Carolina,NC,Caldwell,7b
16,Idaho,ID,Madison,5a
18,Indiana,IN,Warrick,7a
21,Kentucky,KY,Adair,7a
21,Kentucky,KY,Gallatin,6b
21,Kentucky,KY,Harrison,6b
23,Maine,ME,Sagadahoc,5b
30,Montana,MT,Sweet Grass,5a
48,Texas,TX,Grayson,8a
42,Pennsylvania,PA,Greene,6a
02,Alaska,AK,Northwest Arctic,
20,Kansas,KS,Ellis,6b
01,Alabama,AL,Hale,8b
01,Alabama,AL,Perry,8b
01,Alabama,AL,Colbert,8a
20,Kansas,KS,Pratt,7a
21,Kentucky,KY,Bourbon,6b
47,Tennessee,TN,Rutherford,7b
13,Georgia,GA,Cook,9a
20,Kansas,KS,Lane,6a
40,Oklahoma,OK,Harper,7a
17,Illinois,IL,Piatt,6a
48,Texas,TX,Crosby,7b
72,,,Fajardo,
01,Alabama,AL,Greene,8b
16,Idaho,ID,Clark,5b
19,Iowa,IA,Kossuth,5a
72,,,Yabucoa,
38,North Dakota,ND,Burke,4a
37,North Carolina,NC,Durham,8a
19,Iowa,IA,Harrison,5b
31,Nebraska,NE,Keya Paha,5a
19,Iowa,IA,Webster,5a
17,Illinois,IL,Pope,7a
47,Tennessee,TN,Smith,7b
51,Virginia,VA,Henry,7b
51,Virginia,VA,Alexandria,7b
19,Iowa,IA,Jefferson,5b
30,Montana,MT,Lewis and Clark,4b
49,Utah,UT,Duchesne,6a
40,Oklahoma,OK,Alfalfa,7a
48,Texas,TX,Delta,8b
47,Tennessee,TN,Trousdale,7b
21,Kentucky,KY,Perry,7a
46,South Dakota,SD,Deuel,4b
41,Oregon,OR,Jackson,8a
72,,,Hormigueros,
48,Texas,TX,Zavala,9a
31,Nebraska,NE,Banner,5a
19,Iowa,IA,Madison,5b
12,Florida,FL,Broward,10b
13,Georgia,GA,Toombs,9a
26,Michigan,MI,Sanilac,6a
48,Texas,TX,Rockwall,8b
26,Michigan,MI,Wayne,6b
27,Minnesota,MN,Nobles,5a
27,Minnesota,MN,Aitkin,4a
38,North Dakota,ND,Ramsey,4a
37,North Carolina,NC,Person,7b
20,Kansas,KS,Trego,6a
28,Mississippi,MS,Washington,8b
48,Texas,TX,Eastland,8a
28,Mississippi,MS,Issaquena,8b
48,Texas,TX,DeWitt,9a
48,Texas,TX,Angelina,9a
45,South Carolina,SC,Saluda,8a
29,Missouri,MO,Maries,6b
05,Arkansas,AR,Arkansas,8b
29,Missouri,MO,Lawrence,7a
51,Virginia,VA,Charlottesville,7b
17,Illinois,IL,Bureau,5b
39,Ohio,OH,Scioto,6b
37,North Carolina,NC,Madison,7a
16,Idaho,ID,Jerome,6b
39,Ohio,OH,Vinton,6b
48,Texas,TX,McLennan,8b
16,Idaho,ID,Custer,5b
19,Iowa,IA,Howard,4b
12,Florida,FL,Palm Beach,10b
13,Georgia,GA,Lincoln,8b
01,Alabama,AL,Butler,8b
47,Tennessee,TN,Sumner,7b
51,Virginia,VA,King and Queen,7b
05,Arkansas,AR,Carroll,7a
51,Virginia,VA,Waynesboro,7a
02,Alaska,AK,Sitka,
41,Oregon,OR,Multnomah,9a
47,Tennessee,TN,Grundy,7a
27,Minnesota,MN,Hubbard,3b
38,North Dakota,ND,Sargent,4a
36,New York,NY,St. Lawrence,4a
29,Missouri,MO,Reynolds,6b
06,California,CA,Sacramento,9b
39,Ohio,OH,Paulding,6a
18,Indiana,IN,Wells,6a
51,Virginia,VA,Floyd,7a
06,California,CA,Santa Barbara,9b
54,West Virginia,WV,Boone,7a
28,Mississippi,MS,Benton,7b
21,Kentucky,KY,Crittenden,7a
19,Iowa,IA,Palo Alto,5a
19,Iowa,IA,Ringgold,5b
37,North Carolina,NC,Randolph,8a
24,Maryland,MD,Cecil,7b
18,Indiana,IN,Warren,6a
31,Nebraska,NE,Greeley,5a
31,Nebraska,NE,Jefferson,6a
31,Nebraska,NE,Saline,6a
21,Kentucky,KY,Knott,7a
19,Iowa,IA,Clinton,5a
27,Minnesota,MN,Jackson,5a
27,Minnesota,MN,Dodge,5a
27,Minnesota,MN,Freeborn,5a
06,California,CA,Calaveras,9b
25,Massachusetts,MA,Barnstable,7a
51,Virginia,VA,Middlesex,8a
42,Pennsylvania,PA,Jefferson,6a
18,Indiana,IN,Lake,6a
47,Tennessee,TN,Bedford,7b
47,Tennessee,TN,Clay,7a
17,Illinois,IL,Coles,6a
47,Tennessee,TN,Lauderdale,8a
41,Oregon,OR,Baker,6b
36,New York,NY,Schuyler,6a
26,Michigan,MI,Van Buren,6a
17,Illinois,IL,Mercer,5b
21,Kentucky,KY,Lawrence,6b
21,Kentucky,KY,Morgan,6b
21,Kentucky,KY,Muhlenberg,7a
17,Illinois,IL,Effingham,6b
47,Tennessee,TN,Loudon,7b
46,South Dakota,SD,Clark,4b
15,Hawaii,HI,Honolulu,
12,Florida,FL,Gilchrist,9a
18,Indiana,IN,Tippecanoe,6a
42,Pennsylvania,PA,Snyder,6b
48,Texas,TX,Lamar,8a
12,Florida,FL,Miami-Dade,10b
31,Nebraska,NE,Dundy,5b
48,Texas,TX,Leon,8b
08,Colorado,CO,Pitkin,5a
38,North Dakota,ND,Grand Forks,4a
18,Indiana,IN,LaPorte,6a
18,Indiana,IN,Hamilton,6a
51,Virginia,VA,Emporia,7b
40,Oklahoma,OK,Lincoln,7b
20,Kansas,KS,Greeley,6a
13,Georgia,GA,Harris,8b
13,Georgia,GA,Screven,8b
72,,,San Juan,
48,Texas,TX,Stonewall,8a
39,Ohio,OH,Henry,6a
33,New Hampshire,NH,Grafton,5a
29,Missouri,MO,Newton,7a
18,Indiana,IN,Posey,7a
48,Texas,TX,McMullen,9a
17,Illinois,IL,Cumberland,6b
13,Georgia,GA,Walton,8b
27,Minnesota,MN,Pope,4b
51,Virginia,VA,Rappahannock,7a
51,Virginia,VA,Amherst,7b
06,California,CA,Ventura,10a
17,Illinois,IL,Crawford,6b
08,Colorado,CO,Park,5b
06,California,CA,Los Angeles,11a
04,Arizona,AZ,Yuma,9b
13,Georgia,GA,Gordon,8a
19,Iowa,IA,Calhoun,5a
12,Florida,FL,Highlands,10a
51,Virginia,VA,Covington,7b
50,Vermont,VT,Orange,5a
20,Kansas,KS,McPherson,6b
04,Arizona,AZ,Pinal,9a
39,Ohio,OH,Fulton,6a
08,Colorado,CO,Alamosa,4b
12,Florida,FL,Citrus,9a
72,,,Culebra,
72,,,Dorado,
47,Tennessee,TN,DeKalb,7b
42,Pennsylvania,PA,Clarion,6a
46,South Dakota,SD,Miner,4b
46,South Dakota,SD,Jerauld,5a
18,Indiana,IN,Decatur,6b
18,Indiana,IN,Dubois,6b
51,Virginia,VA,Essex,7b
45,South Carolina,SC,Williamsburg,8b
36,New York,NY,Essex,4a
19,Iowa,IA,Worth,5a
40,Oklahoma,OK,Hughes,7b
51,Virginia,VA,Buchanan,7a
51,Virginia,VA,Alleghany,7a
28,Mississippi,MS,Lowndes,8b
18,Indiana,IN,Scott,6b
08,Colorado,CO,Prowers,6a
48,Texas,TX,Sutton,8a
72,,,Sabana Grande,
40,Oklahoma,OK,Muskogee,7b
29,Missouri,MO,Christian,6b
72,,,Ciales,
28,Mississippi,MS,Lamar,8b
18,Indiana,IN,Ripley,6b
38,North Dakota,ND,Mercer,4a
13,Georgia,GA,Hart,8a
22,Louisiana,LA,Jackson,8b
51,Virginia,VA,Northumberland,8a
48,Texas,TX,Fort Bend,9a
55,Wisconsin,WI,Green Lake,5a
30,Montana,MT,Pondera,4b
55,Wisconsin,WI,Walworth,5b
32,Nevada,NV,Mineral,7a
17,Illinois,IL,Fulton,6a
36,New York,NY,Suffolk,7b
18,Indiana,IN,Union,6a
29,Missouri,MO,McDonald,7a
31,Nebraska,NE,Scotts Bluff,5a
35,New Mexico,NM,San Miguel,6b
01,Alabama,AL,Lee,8b
48,Texas,TX,Parker,8a
38,North Dakota,ND,Dickey,4b
38,North Dakota,ND,Barnes,4a
27,Minnesota,MN,Sibley,4b
13,Georgia,GA,Upson,8b
06,California,CA,Sonoma,9b
26,Michigan,MI,Chippewa,5a
16,Idaho,ID,Bonneville,5b
13,Georgia,GA,Barrow,8a
13,Georgia,GA,Long,9a
48,Texas,TX,Kinney,9a
40,Oklahoma,OK,Ottawa,7a
42,Pennsylvania,PA,Clearfield,6a
26,Michigan,MI,Clinton,6a
72,,,Santa Isabel,
17,Illinois,IL,Montgomery,6b
28,Mississippi,MS,Alcorn,7b
28,Mississippi,MS,Lafayette,8a
22,Louisiana,LA,Grant,9a
29,Missouri,MO,Atchison,5b
17,Illinois,IL,Macon,6a
26,Michigan,MI,St. Joseph,6a
17,Illinois,IL,Franklin,7a
30,Montana,MT,Garfield,4a
31,Nebraska,NE,Adams,6a
27,Minnesota,MN,Olmsted,4b
34,New Jersey,NJ,Union,7a
72,,,Trujillo Alto,
01,Alabama,AL,Mobile,8b
46,South Dakota,SD,McCook,5a
01,Alabama,AL,Fayette,7b
01,Alabama,AL,Chambers,8a
37,North Carolina,NC,Northampton,8a
08,Colorado,CO,Moffat,6a
21,Kentucky,KY,Green,7a
18,Indiana,IN,Franklin,6b
37,North Carolina,NC,Beaufort,8b
72,,,Jayuya,
